frame,track_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,1,645.1776123046875,117.0151138305664,0.9625569581985474,656.5479125976562,107.7932357788086,0.9572116732597351,635.1887817382812,106.662353515625,0.7956033945083618,674.6097412109375,117.41091918945312,0.9138494729995728,626.6198120117188,115.51750946044922,0.40313419699668884,688.24169921875,181.67312622070312,0.9960324168205261,627.069580078125,181.16819763183594,0.9516737461090088,701.6522216796875,256.0097961425781,0.9894834160804749,635.917236328125,255.33340454101562,0.7372399568557739,622.5709228515625,262.84796142578125,0.9753400087356567,600.5489501953125,274.7574462890625,0.7528717517852783,668.7679443359375,336.74896240234375,0.9825912117958069,628.9705200195312,333.73687744140625,0.9401226043701172,670.28662109375,470.90435791015625,0.9062998294830322,648.2947387695312,467.38690185546875,0.7360543012619019,678.864501953125,566.0,0.487411767244339,668.5047607421875,564.4544677734375,0.30040422081947327
0,2,142.89353942871094,195.4451446533203,0.9731753468513489,151.6673126220703,187.905517578125,0.9140470027923584,134.13772583007812,188.2408905029297,0.9340566992759705,164.3422393798828,197.27114868164062,0.688171923160553,121.94507598876953,197.8492889404297,0.777400016784668,182.57745361328125,252.39202880859375,0.9867792129516602,105.80928039550781,253.99380493164062,0.9942798614501953,211.1864776611328,318.2299499511719,0.9472322463989258,78.44319915771484,319.9273986816406,0.9782108664512634,219.6680908203125,380.5494384765625,0.9267287850379944,50.1368522644043,381.09210205078125,0.9619317054748535,171.87265014648438,369.6654968261719,0.9879224896430969,122.05343627929688,369.9988098144531,0.9915677905082703,171.30294799804688,445.4280700683594,0.9593662023544312,112.04268646240234,448.2684020996094,0.9725586175918579,172.84007263183594,508.24053955078125,0.8508294224739075,112.36262512207031,516.2514038085938,0.8841525912284851
0,3,319.7594299316406,190.57859802246094,0.9486821293830872,328.2755432128906,183.7440948486328,0.8964825868606567,312.9621887207031,183.8333282470703,0.8432239890098572,343.67706298828125,193.5294189453125,0.7645008563995361,305.4693908691406,193.25132751464844,0.5966547727584839,363.9722900390625,244.6842803955078,0.9899322986602783,291.4620056152344,244.54689025878906,0.9854205250740051,386.31060791015625,310.9202880859375,0.9636459946632385,265.906494140625,311.116943359375,0.9361922144889832,390.9044189453125,373.0690612792969,0.9275816679000854,251.8482208251953,379.0743408203125,0.8938287496566772,354.4261779785156,352.3131408691406,0.9899773597717285,306.02587890625,351.8451232910156,0.987338662147522,353.4559631347656,423.2055358886719,0.9660329818725586,292.692626953125,423.0740966796875,0.9605531692504883,355.25616455078125,499.4810485839844,0.8709562420845032,294.9038391113281,498.75,0.8647582530975342
1,1,643.1199340820312,118.65865325927734,0.9637652635574341,654.9484252929688,109.4057388305664,0.9589875340461731,633.998779296875,108.00540161132812,0.7941456437110901,674.4026489257812,117.93559265136719,0.9202297925949097,627.40673828125,115.12311553955078,0.3946050703525543,688.1677856445312,182.30917358398438,0.9963944554328918,627.0906372070312,179.54185485839844,0.9552662968635559,703.6720581054688,258.2044677734375,0.9905868172645569,634.6615600585938,252.2079315185547,0.7565823793411255,627.3719482421875,271.8906555175781,0.9781028628349304,599.6710205078125,280.7679138183594,0.7713455557823181,666.1600341796875,338.1178283691406,0.9851744771003723,626.43701171875,334.3530578613281,0.9484958052635193,670.7662963867188,468.8455505371094,0.9189296364784241,645.984375,465.23583984375,0.7665920257568359,681.9332275390625,566.0,0.5287913084030151,666.6868896484375,563.12353515625,0.33771175146102905
1,2,140.7627410888672,193.3934326171875,0.9722459316253662,149.67955017089844,186.09033203125,0.9195095300674438,132.5667266845703,186.5374755859375,0.9269639253616333,164.0255584716797,196.43385314941406,0.7184889912605286,122.91587829589844,197.32872009277344,0.7453553676605225,184.1328887939453,251.78887939453125,0.9858385920524597,108.23306274414062,253.9384002685547,0.9929502010345459,212.60227966308594,317.15740966796875,0.9455564618110657,79.01171112060547,319.5506896972656,0.9727643132209778,220.9591064453125,380.8466491699219,0.9243239760398865,51.203487396240234,380.7489013671875,0.9543758630752563,174.54531860351562,368.8000183105469,0.9830542206764221,125.55592346191406,369.2076721191406,0.9873319268226624,172.02818298339844,446.87249755859375,0.9369157552719116,115.2344741821289,449.988037109375,0.9540266990661621,172.52316284179688,508.7832946777344,0.7687332630157471,114.8674545288086,516.5630493164062,0.8094685077667236
1,3,321.6554260253906,189.41305541992188,0.9680228233337402,330.814208984375,183.12118530273438,0.9104406237602234,314.31707763671875,182.75584411621094,0.9140891432762146,345.53765869140625,193.2122344970703,0.7388553023338318,305.30047607421875,192.32899475097656,0.7137208580970764,365.1534118652344,247.88954162597656,0.9909464120864868,288.56396484375,248.3018341064453,0.992123544216156,388.3136291503906,315.1379089355469,0.964360773563385,264.1317138671875,315.847900390625,0.969420313835144,400.368408203125,374.82147216796875,0.936570405960083,248.2781982421875,378.4645690917969,0.9431046843528748,351.3133544921875,364.1866149902344,0.9903922080993652,301.77545166015625,363.7764587402344,0.9909636974334717,351.486572265625,440.6346740722656,0.957904040813446,290.3407287597656,438.17205810546875,0.9613563418388367,354.3590087890625,508.311767578125,0.8221920728683472,291.9701843261719,506.7144470214844,0.8325993418693542
2,1,642.6610107421875,118.65090942382812,0.9645021557807922,654.6229858398438,109.3099594116211,0.9596316814422607,633.4456176757812,108.1943130493164,0.7995090484619141,674.6715698242188,117.8377685546875,0.9201250672340393,626.6793823242188,115.86529541015625,0.39363893866539,689.2623901367188,182.26097106933594,0.9962779879570007,625.5324096679688,180.97096252441406,0.9558009505271912,703.8878173828125,258.47320556640625,0.9902228116989136,630.48681640625,254.6375274658203,0.7599897980690002,627.9420776367188,277.6685791015625,0.9776933789253235,595.5133666992188,287.2560119628906,0.7743064165115356,666.4854125976562,337.5213623046875,0.984594464302063,625.3311767578125,334.32421875,0.9476510286331177,670.8948974609375,469.0957336425781,0.9151526689529419,645.91162109375,465.9456481933594,0.7609723210334778,681.7114868164062,566.0,0.5155671834945679,667.0171508789062,563.900634765625,0.32862553000450134
2,2,142.41897583007812,194.0235137939453,0.9731946587562561,151.15794372558594,186.62217712402344,0.9168301224708557,133.89132690429688,186.9356689453125,0.9336346387863159,164.06529235839844,196.65106201171875,0.6982050538063049,122.775146484375,197.15235900878906,0.7722282409667969,183.58126831054688,252.9304656982422,0.9859744906425476,105.55965423583984,254.16421508789062,0.9935979843139648,211.53884887695312,318.68603515625,0.9445339441299438,77.16493225097656,320.0771484375,0.9753394722938538,222.15611267089844,380.22784423828125,0.9208744168281555,52.12041091918945,380.5116882324219,0.9564628601074219,172.59402465820312,376.0684814453125,0.9840869307518005,121.66862487792969,376.1187744140625,0.9885450005531311,172.96664428710938,457.0105285644531,0.9365181922912598,111.20710754394531,457.8764953613281,0.9553992748260498,176.05421447753906,515.4097900390625,0.7648500800132751,111.04981994628906,519.328369140625,0.8096778988838196
2,3,320.32281494140625,190.70571899414062,0.959650993347168,328.6539001464844,184.17138671875,0.8937170505523682,313.6024475097656,184.46348571777344,0.8804934620857239,343.5688781738281,192.88795471191406,0.7381910085678101,306.6122741699219,193.62367248535156,0.648216724395752,364.5526428222656,244.8668670654297,0.9922552108764648,291.5105895996094,247.13528442382812,0.9915878176689148,389.0542297363281,310.5843811035156,0.9736368656158447,265.6282653808594,313.77685546875,0.9699418544769287,402.89471435546875,371.184814453125,0.9510382413864136,248.97531127929688,377.44647216796875,0.9457716941833496,352.19305419921875,357.66265869140625,0.9942383766174316,304.63348388671875,358.2447814941406,0.9939560294151306,353.6936950683594,428.90814208984375,0.9775356650352478,291.68780517578125,429.37103271484375,0.9772821664810181,358.6496276855469,498.3240051269531,0.9019233584403992,289.9620361328125,500.3649597167969,0.9026589393615723
3,1,643.1806640625,118.08911895751953,0.9650073051452637,655.0813598632812,108.7132339477539,0.9585567116737366,633.6445922851562,107.68657684326172,0.8084999918937683,674.8762817382812,117.65605163574219,0.9157806038856506,626.2249145507812,115.89041137695312,0.4129808247089386,689.4904174804688,182.68426513671875,0.9961071610450745,625.07861328125,181.22671508789062,0.9582099914550781,705.6982421875,258.677490234375,0.9895303249359131,630.80908203125,254.9517822265625,0.7729529142379761,630.9424438476562,278.90838623046875,0.9766561388969421,595.996337890625,291.1529235839844,0.7841711640357971,666.209228515625,336.8200378417969,0.9841311573982239,624.7521362304688,333.5090026855469,0.9487239718437195,670.9540405273438,469.2450256347656,0.9124729037284851,645.9570922851562,465.662353515625,0.7641754150390625,681.9505004882812,566.0,0.5074127912521362,667.1782836914062,564.2466430664062,0.3288404941558838
